segment_id,text,start,duration,vid
53,conservatives can because if you vote,182.61,5.88,9kEB5pqWpJw
54,for us we have a deal that is ready to,185.64,3.18,9kEB5pqWpJw
55,go,188.49,4.02,9kEB5pqWpJw
56,approved by every one of the 635,188.82,6.48,9kEB5pqWpJw
57,conservative candidates standing at this,192.51,5.01,9kEB5pqWpJw
58,election and as soon as we can get that,195.3,4.5,9kEB5pqWpJw
59,deal through Parliament as we can in the,197.52,4.5,9kEB5pqWpJw
60,next few weeks we can get on with the,199.8,4.59,9kEB5pqWpJw
61,people's priorities and that's the,202.02,2.94,9kEB5pqWpJw
62,choice,204.39,3.39,9kEB5pqWpJw
63,dither and delay deadlock and division,204.96,5.91,9kEB5pqWpJw
64,under a Corbin Sturgeon coalition with,207.78,5.67,9kEB5pqWpJw
65,two referendums another one on the EU,210.87,5.25,9kEB5pqWpJw
66,and then another one on Scotland or we,213.45,5.25,9kEB5pqWpJw
67,can end this national misery break the,216.12,5.88,9kEB5pqWpJw
68,deadlock get brexit done and make 2020,218.7,6.39,9kEB5pqWpJw
69,year of prosperity and growth where we,222,6.39,9kEB5pqWpJw
70,invest in our NHS and deal with the cost,225.09,4.83,9kEB5pqWpJw
71,of living together,228.39,3.81,9kEB5pqWpJw
72,thank you educated this country for,229.92,5.36,9kEB5pqWpJw
73,words thank you,232.2,3.08,9kEB5pqWpJw
74,well we invited viewers from right,238.5,4.24,9kEB5pqWpJw
75,across the country to submit questions,241.18,3.72,9kEB5pqWpJw
76,we've selected the questioners and they,242.74,3.81,9kEB5pqWpJw
77,are in the studio with us this evening,244.9,3.66,9kEB5pqWpJw
78,the two leaders don't know what they'll,246.55,4.08,9kEB5pqWpJw
79,be asked also here the people who will,248.56,4.56,9kEB5pqWpJw
80,listen to tonight's debate some have,250.63,5.01,9kEB5pqWpJw
81,voted conservative and some labour in,253.12,4.74,9kEB5pqWpJw
82,the past and some have voted for other,255.64,4.68,9kEB5pqWpJw
83,parties across the UK and our first,257.86,4.38,9kEB5pqWpJw
84,question tonight comes from Kath,260.32,5.43,9kEB5pqWpJw
85,Sherlock from Bradford Cass both of you,262.24,5.37,9kEB5pqWpJw
86,have promised that we're exit will be,265.75,4.44,9kEB5pqWpJw
87,resolved in the next few months but,267.61,4.86,9kEB5pqWpJw
88,you're really telling us the truth there,270.19,4.89,9kEB5pqWpJw
89,have been so many broken promises can,272.47,4.89,9kEB5pqWpJw
90,you reassure me that we will not be,275.08,5.52,9kEB5pqWpJw
91,talking about this forever thank you,277.36,4.17,9kEB5pqWpJw
92,very much indeed,280.6,3.93,9kEB5pqWpJw
93,Cass so a question about the timetable,281.53,6.87,9kEB5pqWpJw
94,for brexit to respond first mr. Johnson,284.53,6.75,9kEB5pqWpJw
95,well thank you very much Kath and yes we,288.4,5.79,9kEB5pqWpJw
96,certainly will come out on January the,291.28,5.13,9kEB5pqWpJw
97,31st because we have a deal that as I,294.19,4.29,9kEB5pqWpJw
98,say is oven ready it's ready to to go,296.41,4.68,9kEB5pqWpJw
99,and it's approved as I say and not just,298.48,3.72,9kEB5pqWpJw
100,by our friends and partners in the EU,301.09,5.31,9kEB5pqWpJw
101,but by every one of the 635 conservative,302.2,6.33,9kEB5pqWpJw
102,Canada and it delivers everything that,306.4,5.01,9kEB5pqWpJw
103,we wanted from brexit our whole country,308.53,5.91,9kEB5pqWpJw
104,comes out entire and perfect England,311.41,5.04,9kEB5pqWpJw
105,Scotland Wales Northern Ireland together,314.44,4.229,9kEB5pqWpJw
106,and there is a sharp distinction between,316.45,4.5,9kEB5pqWpJw
107,what we are proposing getting brexit,318.669,4.261,9kEB5pqWpJw
108,done unleashing the potential of this,320.95,3.81,9kEB5pqWpJw
109,country and next year,322.93,4.86,9kEB5pqWpJw
110,dither and delay with another referendum,324.76,7.11,9kEB5pqWpJw
111,on the EU when Jeremy Corbyn mr. colbey,327.79,7.14,9kEB5pqWpJw
112,cannot tell us which side he would,331.87,5.22,9kEB5pqWpJw
113,campaign on okay thank you mr. Johnson,334.93,3.989,9kEB5pqWpJw
114,your time's up for your first response,337.09,3.93,9kEB5pqWpJw
115,to your first response to cats question,338.919,4.231,9kEB5pqWpJw
116,our priority is obviously to get it,341.02,2.7,9kEB5pqWpJw
117,sorted,343.15,3.24,9kEB5pqWpJw
118,we will within three months negotiate a,343.72,4.92,9kEB5pqWpJw
119,credible leave option with the European,346.39,4.56,9kEB5pqWpJw
120,Union and with the six months put that,348.64,3.9,9kEB5pqWpJw
121,to a referendum of the British people to,350.95,4.26,9kEB5pqWpJw
122,decide between that option of leaving,352.54,5.129,9kEB5pqWpJw
123,whilst protecting jobs and trade and the,355.21,3.99,9kEB5pqWpJw
124,Good Friday Agreement with Europe all,357.669,3.481,9kEB5pqWpJw
125,remaining as full members of the,359.2,4.08,9kEB5pqWpJw
126,European Union that will be the choice,361.15,4.08,9kEB5pqWpJw
127,put before the British people the idea,363.28,4.35,9kEB5pqWpJw
128,that the Prime Minister Boris Johnson's,365.23,5.4,9kEB5pqWpJw
129,deal can be dealt with and finished by,367.63,3.99,9kEB5pqWpJw
130,the end of January,370.63,3.66,9kEB5pqWpJw
131,is such nonsense what he's proposing is,371.62,4.38,9kEB5pqWpJw
132,a trade deal with the United States that,374.29,3.33,9kEB5pqWpJw
133,would take at least seven years to,376,3.72,9kEB5pqWpJw
134,negotiate whilst at the same time saying,377.62,4.2,9kEB5pqWpJw
135,he would negotiate a special trade deal,379.72,4.38,9kEB5pqWpJw
136,with the European Union the two things,381.82,4.77,9kEB5pqWpJw
137,are actually incompatible Thank You mr.,384.1,12.15,9kEB5pqWpJw
138,Corbyn sillas so to open the debate mr.,386.59,12.21,9kEB5pqWpJw
139,Johnson said that he claims he has a,396.25,4.889,9kEB5pqWpJw
140,deal that is ready to go that you would,398.8,5.67,9kEB5pqWpJw
141,have to negotiate a new deal after three,401.139,5.4,9kEB5pqWpJw
142,years since we voted to lead the,404.47,4.41,9kEB5pqWpJw
143,European Union on that point how would,406.539,3.721,9kEB5pqWpJw
144,you respond well the Prime Minister,408.88,4.289,9kEB5pqWpJw
145,Boris Johnson voted twice against,410.26,5.34,9kEB5pqWpJw
146,Theresa May Mays deal one time for it,413.169,4.141,9kEB5pqWpJw
147,then proposed his own deal which,415.6,3.569,9kEB5pqWpJw
148,narrowly got through the House of,417.31,3.9,9kEB5pqWpJw
149,Commons with the support of the DUP,419.169,4.171,9kEB5pqWpJw
150,which is actually even worse than,421.21,4.95,9kEB5pqWpJw
151,Theresa Mays deal he cannot protect jobs,423.34,3.75,9kEB5pqWpJw
152,in this country,426.16,3.93,9kEB5pqWpJw
153,on that basis and I think it is time,427.09,5.52,9kEB5pqWpJw
154,that we actually recognize we have to,430.09,4.889,9kEB5pqWpJw
155,maintain a firm and good trading,432.61,4.559,9kEB5pqWpJw
156,relationship with Europe otherwise more,434.979,3.931,9kEB5pqWpJw
157,jobs will be lost all over the country,437.169,3.661,9kEB5pqWpJw
158,as they already been lost because of the,438.91,4.47,9kEB5pqWpJw
159,uncertainty well we have a great deal,440.83,6.269,9kEB5pqWpJw
160,that is supported as mr. Corbyn says not,443.38,6.45,9kEB5pqWpJw
161,just by many members of his own party,447.099,5.851,9kEB5pqWpJw
162,but by the entire conservative party now,449.83,6.209,9kEB5pqWpJw
163,and 635 conservative candidates have,452.95,6.39,9kEB5pqWpJw
164,backed it and what is the alternative,456.039,5.88,9kEB5pqWpJw
165,it's it's under Jeremy Corbyn the Labour,459.34,6.359,9kEB5pqWpJw
166,Party to consecrate next year to a,461.919,5.551,9kEB5pqWpJw
167,three-month extension in which he would,465.699,4.111,9kEB5pqWpJw
168,and mr. Coburn proposes to negotiate a,467.47,6.06,9kEB5pqWpJw
169,new treaty and then to put that to the,469.81,6.03,9kEB5pqWpJw
170,people in a referendum but we don't know,473.53,4.29,9kEB5pqWpJw
171,and I've asked this before we don't know,475.84,4.77,9kEB5pqWpJw
172,on which side mr. Corbyn would campaign,477.82,5.159,9kEB5pqWpJw
173,is he going to campaign for leave can,480.61,4.739,9kEB5pqWpJw
174,remote can we ask mr. Corbyn to respond,482.979,6.94,9kEB5pqWpJw
175,very clearly we will we will negotiate,485.349,8.451,9kEB5pqWpJw
176,we will negotiate an agreement and we'll,489.919,6.76,9kEB5pqWpJw
177,put that alongside remain in a,493.8,5.31,9kEB5pqWpJw
178,referendum and our government will abide,496.679,4.47,9kEB5pqWpJw
179,by that result I will carry out the,499.11,3.63,9kEB5pqWpJw
180,result of that referendum there will be,501.149,4.591,9kEB5pqWpJw
181,a genuine choice put before the people,502.74,4.979,9kEB5pqWpJw
182,of Britain to make their decision and we,505.74,9.709,9kEB5pqWpJw
183,will carry it out at this election what,507.719,11.49,9kEB5pqWpJw
184,we're asking is for a mandate to govern,515.449,5.89,9kEB5pqWpJw
185,and mr. Corbin is asking the people for,519.209,3.89,9kEB5pqWpJw
186,a mandate to conduct a new negotiation,521.339,3.631,9kEB5pqWpJw
187,next year when we don't need one because,523.099,3.821,9kEB5pqWpJw
188,we've already got a deal I think what,524.97,4.38,9kEB5pqWpJw
189,people need to understand is whether he,526.92,4.89,9kEB5pqWpJw
190,believes in the deal that he is,529.35,5.549,9kEB5pqWpJw
191,proposing to do does he actually want to,531.81,5.639,9kEB5pqWpJw
192,do this deal because if he doesn't,534.899,5.461,9kEB5pqWpJw
193,believe in it or if absurdly he was then,537.449,4.471,9kEB5pqWpJw
194,going to campaign against it in the,540.36,3.36,9kEB5pqWpJw
195,forthcoming but I'd like to run a,541.92,4.25,9kEB5pqWpJw
196,question directly to mr. Gore which is,543.72,4.679,9kEB5pqWpJw
197,offering him at the question and I,546.17,4.12,9kEB5pqWpJw
198,wonder where the mr. Colby could now,548.399,4.05,9kEB5pqWpJw
199,tell us are you going to campaign for,550.29,3.84,9kEB5pqWpJw
200,leave or remain I want to bring people,552.449,3.931,9kEB5pqWpJw
201,together therefore there will be a,554.13,4.62,9kEB5pqWpJw
202,referendum in which that decision will,556.38,4.29,9kEB5pqWpJw
203,be made by the British people and our,558.75,3.569,9kEB5pqWpJw
204,government will abide by that decision,560.67,4.979,9kEB5pqWpJw
205,when you say you'll get it done really,562.319,5.311,9kEB5pqWpJw
206,mr. Johnson you are going to embark on,565.649,4.62,9kEB5pqWpJw
207,probably seven years of negotiations,567.63,4.68,9kEB5pqWpJw
208,with the United States on a trade deal,570.269,5.67,9kEB5pqWpJw
209,you've already indicated that you will,572.31,5.37,9kEB5pqWpJw
210,allow our national health service to be,575.939,3.75,9kEB5pqWpJw
211,put at risk by a trade deal with the,577.68,4.23,9kEB5pqWpJw
212,United States you've already indicated,579.689,4.561,9kEB5pqWpJw
213,that you would do a Canada style,581.91,3.81,9kEB5pqWpJw
214,agreement which took at least seven,584.25,3.66,9kEB5pqWpJw
215,years to negotiate so you're not going,585.72,3.75,9kEB5pqWpJw
216,to get it done in a few months and you,587.91,4.46,9kEB5pqWpJw
217,know that perfectly well,589.47,2.9,9kEB5pqWpJw
218,I'm noting I'm noting here of course,595.339,4.8,9kEB5pqWpJw
219,that we haven't heard whether you would,597.959,4.831,9kEB5pqWpJw
220,campaign for a main or it's leaving that,600.139,4.271,9kEB5pqWpJw
221,situation but it is important that we,602.79,3.33,9kEB5pqWpJw
222,put the point that you have just made,604.41,3.359,9kEB5pqWpJw
223,directly to mr. Johnson about this,606.12,3.389,9kEB5pqWpJw
224,timetable let's have a look at the,607.769,4.081,9kEB5pqWpJw
225,timetable you reckon you can get your,609.509,4.62,9kEB5pqWpJw
226,divorce deal done and a trade deal done,611.85,5.82,9kEB5pqWpJw
227,by December 2020 do you stick on a,614.129,6.39,9kEB5pqWpJw
228,pledge on that deadline of December 2020,617.67,5.099,9kEB5pqWpJw
229,have you dug yourself in yes absolutely,620.519,4.711,9kEB5pqWpJw
230,because people said people don't forget,622.769,5.641,9kEB5pqWpJw
231,people said that we couldn't do a new,625.23,5.909,9kEB5pqWpJw
232,deal in three months people said that,628.41,4.89,9kEB5pqWpJw
233,they would never open up the treaty they,631.139,4.5,9kEB5pqWpJw
234,said it was impossible to do actually we,633.3,5.099,9kEB5pqWpJw
235,succeeded we have a great new deal as I,635.639,6.12,9kEB5pqWpJw
236,say is oven ready ready to go and I hear,638.399,6.091,9kEB5pqWpJw
237,what Jeremy Jim into Nicole would you,641.759,4.77,9kEB5pqWpJw
238,meet a new coin for December 2020,644.49,10.05,9kEB5pqWpJw
239,I hear what people say about to do a,646.529,11.341,9kEB5pqWpJw
240,fantastic free trade deal with our,654.54,5.25,9kEB5pqWpJw
241,friends and partners in the EU because,657.87,3.87,9kEB5pqWpJw
242,we're already in a state of perfect,659.79,4.62,9kEB5pqWpJw
243,alignment both Oteri's advocators and we,661.74,4.529,9kEB5pqWpJw
244,still have not heard Judy you will make,664.41,3.09,9kEB5pqWpJw
245,it so there is a glitter on serd your,666.269,3.391,9kEB5pqWpJw
246,questions but there is a glaring lacunae,667.5,4.37,9kEB5pqWpJw
247,still in this debate we still,669.66,10.79,9kEB5pqWpJw
248,[Applause],671.87,8.58,9kEB5pqWpJw
249,campaign for the deal he proposes to do,682.5,5.77,9kEB5pqWpJw
250,or is he going to invite his labor,685.9,11.04,9kEB5pqWpJw
251,colleagues to despair,688.27,11.43,9kEB5pqWpJw
252,three months to negotiate six months for,696.94,5.16,9kEB5pqWpJw
253,a referendum and that will bring that,699.7,5.06,9kEB5pqWpJw
254,process to an end what we know of the,702.1,5.4,9kEB5pqWpJw
255,government's proposals what we know of,704.76,5.77,9kEB5pqWpJw
256,what mr. Johnson has done is a series of,707.5,4.95,9kEB5pqWpJw
257,secret meetings with the United States,710.53,4.65,9kEB5pqWpJw
258,in which they were proposing to open up,712.45,5.85,9kEB5pqWpJw
259,our NHS markets as they call them to,715.18,4.86,9kEB5pqWpJw
260,American companies Freedom of,718.3,3.6,9kEB5pqWpJw
261,Information Act request was made in,720.04,3.78,9kEB5pqWpJw
262,order to find out what happened at these,721.9,3.51,9kEB5pqWpJw
263,meetings that's what happened to these,723.82,4.05,9kEB5pqWpJw
264,meetings every single line of this,725.41,5.49,9kEB5pqWpJw
265,document redacted out a document here a,727.87,7.05,9kEB5pqWpJw
266,document here of US UK negotiations,730.9,6.41,9kEB5pqWpJw
267,summary of specific negotiations,734.92,6,9kEB5pqWpJw
268,missiles market access for us products,737.31,5.62,9kEB5pqWpJw
269,to our National Health Service you're,740.92,12.69,9kEB5pqWpJw
270,going to sell invention it is completely,742.93,13.32,9kEB5pqWpJw
271,untrue there are no circumstances,753.61,5.76,9kEB5pqWpJw
272,whatever in which this government or any,756.25,5.49,9kEB5pqWpJw
273,Conservative government will put the NHS,759.37,4.86,9kEB5pqWpJw
274,on the table in any trade negotiation,761.74,5.37,9kEB5pqWpJw
275,our NHS will never be for sale and I'm,764.23,4.83,9kEB5pqWpJw
276,amazed how often this conduct the only,767.11,4.17,9kEB5pqWpJw
277,reason that it comes up is because mr.,769.06,5.04,9kEB5pqWpJw
278,Corbyn is trying to conceal the void at,771.28,4.88,9kEB5pqWpJw
279,the heart of his brexit policy and,774.1,4.71,9kEB5pqWpJw
280,refusing to answer the question of which,776.16,6.71,9kEB5pqWpJw
281,side which side he were,778.81,6.91,9kEB5pqWpJw
282,[Applause],782.87,5.409,9kEB5pqWpJw
283,just very briefly made the position,785.72,8.2,9kEB5pqWpJw
284,clear we will have a referendum abide by,788.279,14.641,9kEB5pqWpJw
285,that result it's a British Minister has,793.92,10.979,9kEB5pqWpJw
286,claimed the NHS is not under threat,802.92,3.539,9kEB5pqWpJw
287,we're going to come to the NHS very,804.899,3.151,9kEB5pqWpJw
288,shortly his government agree with the,806.459,3.87,9kEB5pqWpJw
289,u.s. that there should be in the terms,808.05,5.61,9kEB5pqWpJw
290,of negotiations full market access the,810.329,9.961,9kEB5pqWpJw
291,United States a little further a little,813.66,9.96,9kEB5pqWpJw
292,later and we're now going to go to our,820.29,5.37,9kEB5pqWpJw
293,next questioner staying with the issue,823.62,4.86,9kEB5pqWpJw
294,of brexit John Firth wants to ask about,825.66,4.59,9kEB5pqWpJw
295,the possible threat to the Union which,828.48,4.289,9kEB5pqWpJw
296,could mean the breakup of the United,830.25,4.889,9kEB5pqWpJw
297,Kingdom John is the Union worth,832.769,5.731,9kEB5pqWpJw
298,sacrificing for brexit thank you very,835.139,5.731,9kEB5pqWpJw
299,much indeed for that is the Union worth,838.5,6.779,9kEB5pqWpJw
300,sacrificing for brexit mr corbyn well I,840.87,6.75,9kEB5pqWpJw
301,hope the Union is not going to be broken,845.279,5.341,9kEB5pqWpJw
302,up or sacrificed in this way but the,847.62,5.389,9kEB5pqWpJw
303,agreements that the Prime Minister,850.62,4.769,9kEB5pqWpJw
304,negotiated or he's put not negotiate,853.009,5.08,9kEB5pqWpJw
305,he's put towards the mature Parliament,855.389,5.64,9kEB5pqWpJw
306,was about creating a border between the,858.089,4.521,9kEB5pqWpJw
307,Republic of Ireland and Northern Ireland,861.029,4.11,9kEB5pqWpJw
308,creating a different customs arrangement,862.61,3.82,9kEB5pqWpJw
309,for Northern Ireland with the rest of,865.139,3.241,9kEB5pqWpJw
310,Ireland having promised to the,866.43,4.17,9kEB5pqWpJw
311,Democratic Unionist Party he would never,868.38,2.91,9kEB5pqWpJw
312,do that,870.6,3.12,9kEB5pqWpJw
313,clearly there is an issue there clearly,871.29,4.71,9kEB5pqWpJw
314,there are issues all around about this,873.72,4.349,9kEB5pqWpJw
315,deal that he's proposed and I do think,876,4.8,9kEB5pqWpJw
316,that this deal is damaging to this,878.069,5.82,9kEB5pqWpJw
317,country damaging to the rights we have,880.8,5.009,9kEB5pqWpJw
318,at work and consumer protection and,883.889,3.93,9kEB5pqWpJw
319,environmental protection in this country,885.809,3.96,9kEB5pqWpJw
320,and very damaging to manufacturing,887.819,4.26,9kEB5pqWpJw
321,industry jobs all along written some of,889.769,5.04,9kEB5pqWpJw
322,which of already uncertainty over brakes,892.079,4.56,9kEB5pqWpJw
323,thank you very much indeed mr. Corvinus,894.809,4.5,9kEB5pqWpJw
324,you have a deal that keeps the whole of,896.639,5.88,9kEB5pqWpJw
325,the UK together as we come out of the EU,899.309,5.311,9kEB5pqWpJw
326,and of course Jeremy Corbyn and the,902.519,4.651,9kEB5pqWpJw
327,Labour Party let being no doubt about it,904.62,4.86,9kEB5pqWpJw
328,in order to secure power and the keys to,907.17,4.289,9kEB5pqWpJw
329,number 10 are we going to do a deal they,909.48,4.06,9kEB5pqWpJw
330,probably already have done a deal with,911.459,4.751,9kEB5pqWpJw
331,the sturgeon and the SNP to form a,913.54,5.04,9kEB5pqWpJw
332,Corbin sturgeon coalition and the price,916.21,4.32,9kEB5pqWpJw
333,of that deal the price of Nicolas,918.58,3.78,9kEB5pqWpJw
334,sturgeons support let's being know that,920.53,3.48,9kEB5pqWpJw
335,she's made it absolutely clear would be,922.36,4.89,9kEB5pqWpJw
336,a second referendum on the union with,924.01,4.95,9kEB5pqWpJw
337,Scotland I don't think we need another,927.25,3.84,9kEB5pqWpJw
338,referendum on the Union miss : I ruled,928.96,4.41,9kEB5pqWpJw
339,that we had won in 2014 the people of,931.09,4.47,9kEB5pqWpJw
340,Scotland voted very substantially to,933.37,4.14,9kEB5pqWpJw
341,stay in the most successful political,935.56,4.23,9kEB5pqWpJw
342,partnership over the last 300 years,937.51,4.2,9kEB5pqWpJw
343,why put this country this great country,939.79,3.45,9kEB5pqWpJw
344,through another referendum on Scotland,941.71,9.27,9kEB5pqWpJw
345,and why have a second your first,943.24,9,9kEB5pqWpJw
346,response to that thank you very much,950.98,4.2,9kEB5pqWpJw
347,indeed so just as a quick you know set,952.24,5.22,9kEB5pqWpJw
348,something down in front of us gentlemen,955.18,4.89,9kEB5pqWpJw
349,for clarity is the Union more important,957.46,7.08,9kEB5pqWpJw
350,than brexit yes or no I think I ought to,960.07,8.27,9kEB5pqWpJw
351,be able to reply to this nonsense,964.54,3.8,9kEB5pqWpJw
352,[Applause],970.54,3.3,9kEB5pqWpJw
353,there's not gonna be a coalition of,971.91,3.97,9kEB5pqWpJw
354,labour and anybody else there are no,973.84,3.51,9kEB5pqWpJw
355,deals that been done and there will be,975.88,6.3,9kEB5pqWpJw
356,no deals that are done okay the charity,977.35,7.23,9kEB5pqWpJw
357,is the Union more important from than,982.18,4.56,9kEB5pqWpJw
358,brexit mr. Cobb India our country is,984.58,4.47,9kEB5pqWpJw
359,obviously very very important and we,986.74,4.35,9kEB5pqWpJw
360,have to bring this business to a close,989.05,4.38,9kEB5pqWpJw
361,and that's why we're proposing a trade,991.09,4.89,9kEB5pqWpJw
362,deal with Europe or staying in one or,993.43,3.93,9kEB5pqWpJw
363,the other as a way of bringing this,995.98,2.76,9kEB5pqWpJw
364,issue to a close thank you Miss Johnson,997.36,4.95,9kEB5pqWpJw
365,mr. mr. the Union is of course the most,998.74,7.43,9kEB5pqWpJw
366,important thing just water the question,1002.31,7.49,9kEB5pqWpJw
367,it's a fantastic I'm proud to be not a,1006.17,5.85,9kEB5pqWpJw
368,prime minister also Minister for the now,1009.8,3.81,9kEB5pqWpJw
369,let's be clear that Jeremy Corbyn has,1012.02,3.9,9kEB5pqWpJw
370,said that he's open to a second,1013.61,5.49,9kEB5pqWpJw
371,referendum on Scotland early in the,1015.92,4.86,9kEB5pqWpJw
372,lifetime of next pilot if he's head of,1019.1,4.32,9kEB5pqWpJw
373,the government and a Nicola Sturgeon has,1020.78,4.74,9kEB5pqWpJw
374,made it absolutely clear that the price,1023.42,4.47,9kEB5pqWpJw
375,of her support will be a referendum on,1025.52,4.98,9kEB5pqWpJw
376,Scotland in 2020 so you're going to have,1027.89,4.74,9kEB5pqWpJw
377,a year of two referendums one on,1030.5,10.47,9kEB5pqWpJw
378,Scotland and one if you do have to get,1032.63,9.75,9kEB5pqWpJw
379,to a point where you have to make a deal,1040.97,3.78,9kEB5pqWpJw
380,with the SNP Nicola Sturgeon has already,1042.38,4.23,9kEB5pqWpJw
381,said don't pick up the phone unless you,1044.75,3.449,9kEB5pqWpJw
382,can guarantee a second independence,1046.61,3.78,9kEB5pqWpJw
383,referendum can you rule it out before,1048.199,4.291,9kEB5pqWpJw
384,the end of the first year I've said,1050.39,4.59,9kEB5pqWpJw
385,there would be no deal with the SNP that,1052.49,3.99,9kEB5pqWpJw
386,would be no support for a Scottish,1054.98,3.03,9kEB5pqWpJw
387,referendum in the early years the next,1056.48,2.79,9kEB5pqWpJw
388,Labour government because I want to,1058.01,4.02,9kEB5pqWpJw
389,invest in Scotland and give Scotland the,1059.27,4.47,9kEB5pqWpJw
390,70 billion it needs in capital,1062.03,5.82,9kEB5pqWpJw
391,investments see if the SNP choose to put,1063.74,5.49,9kEB5pqWpJw
392,the conservative government back in,1067.85,3.48,9kEB5pqWpJw
393,office with its austerity programme,1069.23,8.61,9kEB5pqWpJw
394,that's their choice listen very,1071.33,8.76,9kEB5pqWpJw
395,carefully as always do to mr. Koopman I,1077.84,3.72,9kEB5pqWpJw
396,didn't hear him say he was going to rule,1080.09,3.6,9kEB5pqWpJw
397,out a referendum on Scotland did did you,1081.56,5.16,9kEB5pqWpJw
398,what were ruling out a referendum it's,1083.69,8.64,9kEB5pqWpJw
399,perfectly clear support for the chaotic,1086.72,10.86,9kEB5pqWpJw
400,coalition that he would comprise 9 years,1092.33,8.75,9kEB5pqWpJw
401,of chaotic coalition's already,1097.58,3.5,9kEB5pqWpJw
402,can I turn please to be seared northern,1104.719,4.89,9kEB5pqWpJw
403,island in your hustings your leadership,1107.549,4.53,9kEB5pqWpJw
404,race mr. Johnson you said under no,1109.609,4.24,9kEB5pqWpJw
405,circumstances whatever happens where I,1112.079,3.72,9kEB5pqWpJw
406,allowed the EU or anyone else to create,1113.849,4.62,9kEB5pqWpJw
407,any division down the Irish Sea you,1115.799,4.32,9kEB5pqWpJw
408,spoke to another conference a year ago,1118.469,3.36,9kEB5pqWpJw
409,saying that that would damage the fabric,1120.119,4.35,9kEB5pqWpJw
410,of the Union and now here we have your,1121.829,4.5,9kEB5pqWpJw
411,deal that you've presented to Parliament,1124.469,4.231,9kEB5pqWpJw
